"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 05:00:56 GMT 2023","Sun Jul 23 05:00:59 GMT 2023","2353","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineUsingSpecialCharacter","testRenamePipelineUsingSpecialCharacter","Verify 'Error' page is displayed and '‘<spChar>’ is an unsafe character' error message is displayed if rename pipeline using special character"
"broken","Sun Jul 23 04:58:05 GMT 2023","Sun Jul 23 04:58:05 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","beforeMethod","beforeMethod",""
"passed","Sun Jul 23 04:59:53 GMT 2023","Sun Jul 23 04:59:55 GMT 2023","2089","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testBuildNewPipeline","testBuildNewPipeline","Verify last Success text is 'N/A' if build with sample 'Hello World'"
"passed","Sun Jul 23 05:09:10 GMT 2023","Sun Jul 23 05:09:11 GMT 2023","490","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"passed","Sun Jul 23 05:04:30 GMT 2023","Sun Jul 23 05:04:33 GMT 2023","3083","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testDeleteUserGoingFromBuildsUserPage","testDeleteUserGoingFromBuildsUserPage","Delete user by 'Delete' on the side menu on the 'Builds user' page and verify that deleted user is not displayed on the 'People' page"
"skipped","Sun Jul 23 04:58:05 GMT 2023","Sun Jul 23 04:58:05 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView","Verify that Error message appears when is trying to rename a List view with the name that contains invalid special characters"
"skipped","Sun Jul 23 04:58:05 GMT 2023","Sun Jul 23 04:58:05 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView","Verify that Error message appears when is trying to rename a List view with the name that contains invalid special characters"
"passed","Sun Jul 23 05:09:04 GMT 2023","Sun Jul 23 05:09:05 GMT 2023","489","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"passed","Sun Jul 23 05:02:17 GMT 2023","Sun Jul 23 05:02:21 GMT 2023","3724","Surefire suite","Surefire test","tests.OrganizationFolderTest","tests.OrganizationFolderTest","testMoveOrgFolderToFolder","testMoveOrgFolderToFolder","The Organization folder can be moved to folder"
"passed","Sun Jul 23 05:05:35 GMT 2023","Sun Jul 23 05:05:37 GMT 2023","1816","Surefire suite","Surefire test","tests.MultibranchPipelineTest","tests.MultibranchPipelineTest","testRenameMultiBranchPipelineFromDropdown","testRenameMultiBranchPipelineFromDropdown","Verify that 'Multibranch Pipeline' can be renamed from the drop-down menu"
"unknown","Sun Jul 23 04:56:55 GMT 2023","Sun Jul 23 04:56:55 GMT 2023","9","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testBuildParametrizedProject","testBuildParametrizedProject","Verify Console Output contains Tests result 'BUILD SUCCESS' and Message: 'Finished: SUCCESS' if build parametrized project"
"passed","Sun Jul 23 05:02:33 GMT 2023","Sun Jul 23 05:02:33 GMT 2023","286","Surefire suite","Surefire test","tests.HeaderComponentTest","tests.HeaderComponentTest","testLogoHeadIconReloadMainPage","testLogoHeadIconReloadMainPage","Verify that 'Search' field value contains expected text {text} and clear after click on the Jenkins icon"
"skipped","Sun Jul 23 04:59:45 GMT 2023","Sun Jul 23 04:59:45 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProject","testRenameFreestyleProject","Verify if the list of projects' names on Dashboard contains expected Project name.Thus proving that the project renamed successfully."
"skipped","Sun Jul 23 04:58:05 GMT 2023","Sun Jul 23 04:58:05 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView","Verify that Error message appears when is trying to rename a List view with the name that contains invalid special characters"
"passed","Sun Jul 23 05:09:27 GMT 2023","Sun Jul 23 05:09:28 GMT 2023","1125","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateOrgFolder","testCreateOrgFolder","Verify that organization folder can be created"
"passed","Sun Jul 23 05:09:45 GMT 2023","Sun Jul 23 05:09:46 GMT 2023","483","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testNewItemPageContainsSixItems","testNewItemPageContainsSixItems","Check if NewItemPage contains all six project types: Freestyle project, Pipeline, Multi-configuration project, Folder, Multibranch Pipeline, Organization Folder"
"passed","Sun Jul 23 05:05:09 GMT 2023","Sun Jul 23 05:05:11 GMT 2023","2037","Surefire suite","Surefire test","tests.MultibranchPipelineTest","tests.MultibranchPipelineTest","testAddDescription","testAddDescription","The 'Description' can be added to the Multibranch Pipeline after clicking the 'Configure the project' link"
"passed","Sun Jul 23 05:09:48 GMT 2023","Sun Jul 23 05:09:48 GMT 2023","1","Surefire suite","Surefire test","runner.order.OrderForTestsTest","runner.order.OrderForTestsTest","orderMethodsCycleDepTest","orderMethodsCycleDepTest",""
"skipped","Sun Jul 23 04:58:05 GMT 2023","Sun Jul 23 04:58:05 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView","Verify that Error message appears when is trying to rename a List view with the name that contains invalid special characters"
"passed","Sun Jul 23 05:03:45 GMT 2023","Sun Jul 23 05:03:47 GMT 2023","1725","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"skipped","Sun Jul 23 04:58:05 GMT 2023","Sun Jul 23 04:58:05 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testCreateViewWithExistingName","testCreateViewWithExistingName","Verify that created View contains existing name"
"passed","Sun Jul 23 05:06:54 GMT 2023","Sun Jul 23 05:07:06 GMT 2023","11711","Surefire suite","Surefire test","tests.MultiConfigurationProjectTest","tests.MultiConfigurationProjectTest","testMultiConfigurationProjectBuild","testMultiConfigurationProjectBuild","Verify that the 'MultiConfigurationProject' I can make to build multi-configuration projects, so that I can build them manually"
"passed","Sun Jul 23 04:58:06 GMT 2023","Sun Jul 23 04:58:06 GMT 2023","538","Surefire suite","Surefire test","tests.UserProfileTest","tests.UserProfileTest","testUserProfileAddDescription","testUserProfileAddDescription","Verify if the description text on the User Profile page is the same as expected after it has been edited and saved"
"passed","Sun Jul 23 05:06:45 GMT 2023","Sun Jul 23 05:06:47 GMT 2023","1833","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testRenameFolderFromSideMenu","testRenameFolderFromSideMenu","Verify that the name of the folder can be changed through side menu"
"skipped","Sun Jul 23 04:59:45 GMT 2023","Sun Jul 23 04:59:45 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"passed","Sun Jul 23 05:08:47 GMT 2023","Sun Jul 23 05:08:49 GMT 2023","1674","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemFromOtherNonExistingName","testCreateNewItemFromOtherNonExistingName","Check if pipeline can be created from another project using not existing name"
"passed","Sun Jul 23 05:03:42 GMT 2023","Sun Jul 23 05:03:44 GMT 2023","1640","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"skipped","Sun Jul 23 04:59:45 GMT 2023","Sun Jul 23 04:59:45 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"passed","Sun Jul 23 05:03:51 GMT 2023","Sun Jul 23 05:03:52 GMT 2023","1581","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"passed","Sun Jul 23 04:59:50 GMT 2023","Sun Jul 23 04:59:53 GMT 2023","2982","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testAddingGitRepository","testAddingGitRepository","Check the GitHub creation button on the side menu"
"passed","Sun Jul 23 05:09:46 GMT 2023","Sun Jul 23 05:09:48 GMT 2023","1249","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testOrgFolderEmptyNameError","testOrgFolderEmptyNameError","Verify that organization folder can be created with empty name"
"passed","Sun Jul 23 05:05:38 GMT 2023","Sun Jul 23 05:05:40 GMT 2023","1845","Surefire suite","Surefire test","tests.MultibranchPipelineTest","tests.MultibranchPipelineTest","testRenameMultiBranchPipelineFromLeftSideMenu","testRenameMultiBranchPipelineFromLeftSideMenu","Verify that 'Multibranch Pipeline' can be renamed from Side menu"
"passed","Sun Jul 23 05:05:12 GMT 2023","Sun Jul 23 05:05:14 GMT 2023","2188","Surefire suite","Surefire test","tests.MultibranchPipelineTest","tests.MultibranchPipelineTest","testAddDisplayName","testAddDisplayName","The 'Display name' can be added to the Multibranch Pipeline"
"skipped","Sun Jul 23 04:59:45 GMT 2023","Sun Jul 23 04:59:45 GMT 2023","1","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testDeleteFreestyleProject","testDeleteFreestyleProject","Verify deletion of the project using side menu"
"passed","Sun Jul 23 05:00:34 GMT 2023","Sun Jul 23 05:00:35 GMT 2023","1827","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testPipelineSideMenuLinks","testPipelineSideMenuLinks","Verify after clicking on the 'Existing Job' we can see left panel with Side Menu links: Changes, Build Now,Configure, Delete Pipeline, Full Stage View, Rename, Pipeline Syntax"
"broken","Sun Jul 23 04:59:45 GMT 2023","Sun Jul 23 04:59:45 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","beforeMethod","beforeMethod",""
"passed","Sun Jul 23 04:57:13 GMT 2023","Sun Jul 23 04:57:15 GMT 2023","2126","Surefire suite","Surefire test","tests.PeoplePageTest","tests.PeoplePageTest","testPeopleDeleteUser","testPeopleDeleteUser","Verify that user was deleted"
"passed","Sun Jul 23 05:07:15 GMT 2023","Sun Jul 23 05:07:17 GMT 2023","1946","Surefire suite","Surefire test","tests.MultiConfigurationProjectTest","tests.MultiConfigurationProjectTest","testMultiConfigurationProjectDisableCheckIconDashboardPage","testMultiConfigurationProjectDisableCheckIconDashboardPage","Check if multi-configuration project can be disabled"
"passed","Sun Jul 23 05:07:53 GMT 2023","Sun Jul 23 05:08:00 GMT 2023","7374","Surefire suite","Surefire test","tests.MultiConfigurationProjectTest","tests.MultiConfigurationProjectTest","testSetConfigurationMatrix","testSetConfigurationMatrix","Verify that can there wil be create configuration matrix with non build stages"
"passed","Sun Jul 23 05:01:32 GMT 2023","Sun Jul 23 05:01:35 GMT 2023","2286","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineUsingSpecialCharacter","testRenamePipelineUsingSpecialCharacter","Verify 'Error' page is displayed and '‘<spChar>’ is an unsafe character' error message is displayed if rename pipeline using special character"
"passed","Sun Jul 23 05:04:15 GMT 2023","Sun Jul 23 05:04:17 GMT 2023","1824","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"passed","Sun Jul 23 05:07:17 GMT 2023","Sun Jul 23 05:07:18 GMT 2023","569","Surefire suite","Surefire test","tests.MultiConfigurationProjectTest","tests.MultiConfigurationProjectTest","testEnableMultiConfigurationProject","testEnableMultiConfigurationProject","Verify that multi-configuration project can be enabled on dashboard"
"passed","Sun Jul 23 05:03:08 GMT 2023","Sun Jul 23 05:03:11 GMT 2023","3090","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateNewNodeWithExistedNameFromDashboard","testCreateNewNodeWithExistedNameFromDashboard","Create New Node With Existed Name by clicking on 'Build Executor Status' on Dashboard"
"passed","Sun Jul 23 05:05:43 GMT 2023","Sun Jul 23 05:05:45 GMT 2023","1847","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testAddFolderDescriptionFromDropDownConfigure","testAddFolderDescriptionFromDropDownConfigure","Ensure the ability to add a description to an existing folder through the folder's dropdown menu"
"passed","Sun Jul 23 05:02:37 GMT 2023","Sun Jul 23 05:02:38 GMT 2023","326","Surefire suite","Surefire test","tests.HeaderComponentTest","tests.HeaderComponentTest","testUserDropdownMenuToOpenBuildsUserPage","testUserDropdownMenuToOpenBuildsUserPage","Verify if 'Builds' link in the User dropdown menu leads to the expected page named as 'Builds for admin'"
"passed","Sun Jul 23 05:02:48 GMT 2023","Sun Jul 23 05:02:49 GMT 2023","465","Surefire suite","Surefire test","tests.BuildHistoryTest","tests.BuildHistoryTest","testNumberOfColumnsInProjectStatusTable","testNumberOfColumnsInProjectStatusTable","Verify the number of columns in 'Project Status' table on the 'Build History' page"
"skipped","Sun Jul 23 04:59:45 GMT 2023","Sun Jul 23 04:59:45 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"passed","Sun Jul 23 05:08:51 GMT 2023","Sun Jul 23 05:08:52 GMT 2023","482","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"skipped","Sun Jul 23 04:59:45 GMT 2023","Sun Jul 23 04:59:45 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testFreestyleProjectBuildDateAndTime","testFreestyleProjectBuildDateAndTime","Verify build time displayed in the 'Build History' section of the side menu s the same as system date and time"
"passed","Sun Jul 23 04:58:19 GMT 2023","Sun Jul 23 04:58:20 GMT 2023","278","Surefire suite","Surefire test","tests.FooterComponentTest","tests.FooterComponentTest","testFooterRestApiClickOnXmlApiDisplayXML","testFooterRestApiClickOnXmlApiDisplayXML","Verification of getting an example XML-schema"
"passed","Sun Jul 23 05:01:03 GMT 2023","Sun Jul 23 05:01:05 GMT 2023","2187","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineUsingSpecialCharacter","testRenamePipelineUsingSpecialCharacter","Verify 'Error' page is displayed and '‘<spChar>’ is an unsafe character' error message is displayed if rename pipeline using special character"
"passed","Sun Jul 23 05:08:58 GMT 2023","Sun Jul 23 05:08:58 GMT 2023","523","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateNewItemWithSpecialCharacterName","testCreateNewItemWithSpecialCharacterName","Verify that creating NewItem with special characters is not possible"
"skipped","Sun Jul 23 04:58:05 GMT 2023","Sun Jul 23 04:58:05 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testRenameView","testRenameView","Verify that created List Views was renamed"
"passed","Sun Jul 23 04:57:08 GMT 2023","Sun Jul 23 04:57:09 GMT 2023","552","Surefire suite","Surefire test","tests.CopyItemTest","tests.CopyItemTest","testFieldCopyFromDoNotDisplayIfDoNotHaveAnyItems","testFieldCopyFromDoNotDisplayIfDoNotHaveAnyItems","Verify 'Copy from' field is not displayed when there are no items exist"
"skipped","Sun Jul 23 04:59:45 GMT 2023","Sun Jul 23 04:59:45 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testConfigureJobAsParameterized","testConfigureJobAsParameterized","Verify that expected parameters are saved and displayed after build is completed "
"skipped","Sun Jul 23 04:58:05 GMT 2023","Sun Jul 23 04:58:05 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView","Verify that Error message appears when is trying to rename a List view with the name that contains invalid special characters"
"skipped","Sun Jul 23 04:58:05 GMT 2023","Sun Jul 23 04:58:05 GMT 2023","0","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testListViewChangeColumnOrder","testListViewChangeColumnOrder",""
"passed","Sun Jul 23 05:00:26 GMT 2023","Sun Jul 23 05:00:28 GMT 2023","1745","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testPipelineAddDescription","testPipelineAddDescription","Verify the description for Pipeline project on the Pipeline page is displayed if add description"
"passed","Sun Jul 23 05:00:22 GMT 2023","Sun Jul 23 05:00:24 GMT 2023","2075","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testDisablePipelineProjectMessage","testDisablePipelineProjectMessage","Check if pipeline project can be disabled"
"passed","Sun Jul 23 05:01:07 GMT 2023","Sun Jul 23 05:01:09 GMT 2023","2303","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineUsingSpecialCharacter","testRenamePipelineUsingSpecialCharacter","Verify 'Error' page is displayed and '‘<spChar>’ is an unsafe character' error message is displayed if rename pipeline using special character"
"skipped","Sun Jul 23 04:58:05 GMT 2023","Sun Jul 23 04:58:05 GMT 2023","1","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testIllegalCharacterRenameView","testIllegalCharacterRenameView","Verify that Error message appears when is trying to rename a List view with the name that contains invalid special characters"
"passed","Sun Jul 23 05:01:46 GMT 2023","Sun Jul 23 05:01:58 GMT 2023","11439","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testWarningMessageIsDisappeared","testWarningMessageIsDisappeared","Verify if the warning message disappears when 'Name' field of 'Maven section' is filled in and 'Apply' button is clicked"
"passed","Sun Jul 23 05:09:38 GMT 2023","Sun Jul 23 05:09:40 GMT 2023","1542","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreatePipelineAssertOnDashboard","testCreatePipelineAssertOnDashboard","Check if pipeline project can be created and assert it on Dashboard"
"passed","Sun Jul 23 05:04:34 GMT 2023","Sun Jul 23 05:04:37 GMT 2023","2870","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testDeleteUserGoingFromConfigureUserPage","testDeleteUserGoingFromConfigureUserPage","Delete user by 'Delete' on the side menu on the 'Configure user' page and verify that deleted user is not displayed on the 'People' page"
"passed","Sun Jul 23 05:00:36 GMT 2023","Sun Jul 23 05:00:39 GMT 2023","2536","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testRenamePipelineUsingSpecialCharacter","testRenamePipelineUsingSpecialCharacter","Verify 'Error' page is displayed and '‘<spChar>’ is an unsafe character' error message is displayed if rename pipeline using special character"
"passed","Sun Jul 23 05:02:36 GMT 2023","Sun Jul 23 05:02:36 GMT 2023","551","Surefire suite","Surefire test","tests.HeaderComponentTest","tests.HeaderComponentTest","testReturnFromNewItemPageToHomePageByClickingOnHeadIcon","testReturnFromNewItemPageToHomePageByClickingOnHeadIcon","Verify if click on the Jenkins icon leads to the Main page that confirmed by base URL"
"passed","Sun Jul 23 05:04:12 GMT 2023","Sun Jul 23 05:04:14 GMT 2023","1904","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testCreateUserWithIncorrectCharactersInName","testCreateUserWithIncorrectCharactersInName","Try to create user with invalid characters in name and verify that error message 'User name must only contain alphanumeric characters, underscore and dash' appeared"
"passed","Sun Jul 23 05:09:48 GMT 2023","Sun Jul 23 05:09:48 GMT 2023","1","Surefire suite","Surefire test","runner.order.OrderForTestsTest","runner.order.OrderForTestsTest","orderMethodsTest","orderMethodsTest",""
"passed","Sun Jul 23 05:04:26 GMT 2023","Sun Jul 23 05:04:29 GMT 2023","3332","Surefire suite","Surefire test","tests.ManageJenkinsTest","tests.ManageJenkinsTest","testDeleteUser","testDeleteUser","Delete user by 'delete user' icon in the table on the 'Manage users' page and verify that deleted user is not displayed on the 'Manage users' page"
"passed","Sun Jul 23 05:09:48 GMT 2023","Sun Jul 23 05:09:48 GMT 2023","0","Surefire suite","Surefire test","runner.order.OrderForTestsTest","runner.order.OrderForTestsTest","orderMethodsOneGroupDepTest","orderMethodsOneGroupDepTest",""
"skipped","Sun Jul 23 04:59:45 GMT 2023","Sun Jul 23 04:59:45 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testBuildProjectWithDiscardOldBuildsMaxLimit","testBuildProjectWithDiscardOldBuildsMaxLimit","Check if the project 'Build History' section on the side menu saves and displays exactly the same amount of builds as configured by the 'Discard Old Builds' option in the Configuration page"
"passed","Sun Jul 23 05:02:26 GMT 2023","Sun Jul 23 05:02:29 GMT 2023","2646","Surefire suite","Surefire test","tests.HeaderComponentTest","tests.HeaderComponentTest","testCheckTheAppropriateSearchResult","testCheckTheAppropriateSearchResult","Verify that list of search results is not empty and contains expected search request"
"passed","Sun Jul 23 04:57:42 GMT 2023","Sun Jul 23 04:57:43 GMT 2023","537","Surefire suite","Surefire test","tests.ViewsTest","tests.ViewsTest","testEditDescription","testEditDescription","Verify if description of 'My views' page is edited"
"passed","Sun Jul 23 05:01:59 GMT 2023","Sun Jul 23 05:02:01 GMT 2023","2379","Surefire suite","Surefire test","tests.OrganizationFolderTest","tests.OrganizationFolderTest","testChangeStatusToDisableOrgFolder","testChangeStatusToDisableOrgFolder","Verify that the 'Organization Folder' can be disable"
"passed","Sun Jul 23 05:06:24 GMT 2023","Sun Jul 23 05:06:25 GMT 2023","1700","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testDeleteFolder","testDeleteFolder","Verify that the folder can be deleted"
"passed","Sun Jul 23 05:05:54 GMT 2023","Sun Jul 23 05:05:56 GMT 2023","2036","Surefire suite","Surefire test","tests.FolderTest","tests.FolderTest","testCreateFolderInFolderFromNewItem","testCreateFolderInFolderFromNewItem","Verify the ability to create a new folder in existing folder using the 'New Item' option"
"skipped","Sun Jul 23 04:59:45 GMT 2023","Sun Jul 23 04:59:45 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testRenameFreestyleProjectToIncorrectViaSideMenu","testRenameFreestyleProjectToIncorrectViaSideMenu","Verify if error message arrears and contains expected text when attempting to rename an existing project with invalid data"
"skipped","Sun Jul 23 04:59:45 GMT 2023","Sun Jul 23 04:59:45 GMT 2023","0","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testEnableProject","testEnableProject","Verify if the Project status icon displayed an expected status when 'Disable Project' option has been applied"
"passed","Sun Jul 23 05:08:33 GMT 2023","Sun Jul 23 05:08:34 GMT 2023","1266","Surefire suite","Surefire test","tests.NewItemTest","tests.NewItemTest","testCreateMultibranchPipeline","testCreateMultibranchPipeline","Check if a new multibranch pipeline can be created"
"passed","Sun Jul 23 05:00:28 GMT 2023","Sun Jul 23 05:00:28 GMT 2023","595","Surefire suite","Surefire test","tests.PipelineTest","tests.PipelineTest","testEditPipelineDescription","testEditPipelineDescription","Verify the description for Pipeline project on the Pipeline page is displayed if edit description"
"skipped","Sun Jul 23 04:59:45 GMT 2023","Sun Jul 23 04:59:45 GMT 2023","1","Surefire suite","Surefire test","tests.FreestyleProjectTest","tests.FreestyleProjectTest","testBuildProjectWithBuildOtherProjectOption","testBuildProjectWithBuildOtherProjectOption","Verify if the Downstream project is built automatically directly upon the Upstream project is built.Stream is set using 'Build other project' option is in 'Post-Build Actions' section of the Configuration Page"
